Source,Target
JOSEMANUELMAR52,eldiarioes
sergim331,republicviatger
VIVENZO1,ivanedlm
Laiaortiz,CarlesSpa
warriorofthebar,CUPBarcelona
silmaga76,jmangues
toni9buceta,Nuriaholl
pedrogoarr,publico_es
7daniel73,republicviatger
dvdjl73,republicviatger
JulioMartnezFo1,republicviatger
LlibertatCat_,republicviatger
qfornes,ComunsFederals
qfornes,xaviertrias
tirant_el_blanc,Eduardo54812683
tirant_el_blanc,CsarCasado1
tirant_el_blanc,24LV4
tirant_el_blanc,bcnencomu
tirant_el_blanc,janetsanz
tirant_el_blanc,xaviertrias
tirant_el_blanc,bcn_ajuntament
Carlos_Vallfog,republicviatger
antoniolopez555,publico_es
Hav160858,kisama1984
Hav160858,FemiRojo_
Hav160858,Yolanda_Diaz_
glorialloreda,republicviatger
esqizqleft,bcnencomu
salacasafont,republicviatger
elCatalan_es,SergiFidalgo
pere2305,Nuriaholl
ampordanes,republicviatger
javifagreda,ctxt_es
javifagreda,G_Pisarello
BallartCarles,republicviatger
sergi_alla,eldiarioes
salvad_m,republicviatger
CarmeRovira2408,republicviatger
majuliabe,republicviatger
SalgadoSergi,bcnencomu
Llorenc_sala,NiellPipa
DucMantua,republicviatger
mariarosa010968,republicviatger
Met04966726,republicviatger
AntoniLamarca,republicviatger
4fiti,MarcSerraSole
Tarsi46220811,republicviatger
bbbcccnnn,btvnoticies
625_65,republicviatger
JazzButi,DianaFT88
cupsants,CUPBarcelona
joseluisescal,comuns_info
lamaofpoker,republicviatger
demalfermar,republicviatger
snatcherSD,DianaFT88
miquel_esteve,republicviatger
minalika1nothin,updayESP
Zalagardera,eldiarioes
pilarsala61,republicviatger
CUPEixample,CUPBarcelona
viladecanscomu,bcnencomu
boiraintensa,republicviatger
xtl666,republicviatger
JosepAlbesa,squad_milf
rosarmario,eldiarioes
pacohernando3,DeMarichalar2
Coconats13,republicviatger
pauclaris63,republicviatger
eldiarioes,urisole
BielMarti_92,republicviatger
OuwerkerkRien,Chewbacca36
AnnaBotargues,republicviatger
protest888,republicviatger
DR54213348,republicviatger
Alfonsiaio,CUPBarcelona
Montserratasta3,republicviatger
ElGranPitu,Jaumeasens
ramonsalvia,republicviatger
MUrgels,republicviatger
jcanadellb,republicviatger
JoshuaRamonArev,republicviatger
mserrats,republicviatger
GuaschXavi,republicviatger
mari16671872,republicviatger
ClotEnComu,EnComu_Podem
ClotEnComu,G_Pisarello
TheRealDrFaggot,ivanedlm
EnComu_Podem,Yolanda_Diaz_
alfredodcu,bcnencomu
malberi6,vadortitus
malberi6,ercdonesbcn
la_camperola,republicviatger
montsegc65,republicviatger
raposilla4,republicviatger
BatallaCarles,TotBcn
BatallaCarles,ernestmaragall
BatallaCarles,ERCbcn
i_lora61,republicviatger
